제목	본문
그렇게 허니제이가 압승이었음	난 그래도 노제가 제일 딱딱 맞는 것 같아서 좋았는데 네이버 댓글보고 당황 노제 댓글엔 대부분 비추에다 허니제이 얘기밖에 없더라 참고로 나 오늘 처음봄 
아이돌들 팬덤 연령대 근황	방탄소년단 세븐틴 엑소 샤이니  김우석 강다니엘 투바투 스키즈  더보이즈 블랙핑크 마마무 트와이스 레드벨벳 에스파 오마이걸 위클리 이달의소녀 프로미스나인 
스우파 제작진 태용 반응 구린거 아나봐	아예 통편집하고 예고 장면도 안나옴 곧 하차할듯 
윈터 논란이 에 바인 이유	햄스터 안키워본애들이 마리래서  놀라서 오바떠는거같아서 진심 내가 다 어이없음햄스터는 애초에 발정기도 일정도 간격에 임신 기간이 한달도 안되고 자궁이 개였나 그래서 한번 임신에 열몇마리까지 낳을 수 있음 나도 초딩때 내친구도 자기 햄스터가 마린가 낳았다그래서 주작인가 싶었는데 이라서 충격먹었었음 암튼 그래서 수가 차고 넘치니까 대형마트 펫샵에서 겨우 몇천원정도로 팔리는거고 버블에서 갓 태어난 새끼 언급하는거 보면 갑작스런 교배로 엄청나게 많아진거같음 햄스터 모르는 애들이 보면 막 몇대에 걸친 교배로 마리가 될때가지 오랜기간 우글우글 한 케이지에서 살았다 정도로 이해하고있는거같은데 그정도 아님  그리고 애초에 진짜 방치했으면 어미가 새끼 잡아먹음이건 관리해줘도 그런 경우 있긴함  태어난 새끼들은 거의 분양보냈을듯 어떻게 마리를 동시에 키우냐 만약 이면 좀 머쓱할듯 근데 그럴리가없자너 그런짓 하기도 전에 부모님한테 등짝맞겠지 걍 새끼가 엄청 태어나서 잠깐 마리까지 됐었다를 햄대장얘기하려고 마리를 키웠다라고 과장한듯근데 그 전에 같이 불거진 고양이나 도마뱀 논란도 있고 햄스터 교배 빨리하는거 등 좀 동물 키우기 전에 많이 공부하고 배려해야될거같긴 함암튼 결론은 햄스터 이정도로 까일 일 아니니까 이때싶 억까같은거 하지좀말자
비투비는 이미지 좋은 갑다	톡선 장악해도 탄압 없네
비투비에	뚝딱이는 없어보인다 다들 평타는 치는거같음 
소통왕으로 불리는 남돌 근황	일단 주어는펜타곤의 신원그가 팬들 사이에서 소통왕이라고 불리는 이유 유큐브에서 심심할 때팬들하고 밸런스 게임하기 궁금한게 생기면 지식인으로 활용 약 한시간 정도 팬들하고 회의하다가 최종 결정 잠 안오면 질척거리기 브이앱 예고하기하루일과 브리핑하기자랑하고 싶은거 자랑하기 등등이친구 라이브 기능 있었으면 그냥 하루종일 틀어놨을 듯그런 그가데키라 고정 게스트로 멤버 키노랑 같이 출연 중인데이번에  라디오 에 처음 도전하게 됨이제 더 마음껏 소통할 수 있음이 친구 이런거 보면 진짜 팬들이랑 찐친 먹은거 같아서부러워짐 
더러운 남친이랑 결혼 하기 싫어요	인스타나 페이스북으로 퍼가지 마세요추가로쓴말이나 조언 해주신분들 다 감사해요자작아니에요 남혐 아니에요제가 나중에 집에 들어가면 사진 찍어서 올릴까요그리고 변명을 조금 하자면나이 차이나는 연애하면서 이런 대접 받는다고 부모님께 말을 못하겠더라고요부모님이 처음에 많이 반대 하셨는데 자식 이기는 부모님 없다잖아요남친이 처음 부터 이런 건 아니에요동거전에는 남친 차도 항상 깨끗했고 남친 집도 깨끗했어요이전에는 남친도 부모님하고 살아서 남친 어머님이 청소를 해 주신 것 같아요많이 자상했어요 제가 학교에 늦게까지 있으면 꽃사와서 차로 본가까지 데려다가 주고선물이나 기념일도 잘 챙겨서 나이 차이나도 이사람이면 괜찮겠구나 싶었어요그리고 남친 누나도 계시는데 누나가 남친을 별로 안좋아해요답글에도 썼지만 그냥 연애만 하자고 말하려는 것은 안전 이별을 하기 위해서에요작년에 제가 헤어지자고 했는데 본가와 학교앞으로 찾아와서 며칠을 울고 빌어서 다시 받아줬어요부모님도 곧 이사 하시고 저도 졸업까지 버티거나 아님 쫓아내거나 둘중 하나를 해야겠죠제 친구들하고도 의논해봤는데 반은 헤어져라 반은 남자 다 그러니까 그냥 참고 살으라고 해서 결정이 안 났던 것 같아요어제 엄마랑 통화했는데 엄마가 굳이 결혼 안해도 된다고 결혼한다고 다 행복한거 아니라고 해서 마음 다 잡고 자취할 방 찾고 있어요본문현재 남자친구랑 결혼 전제로 동거한지 개월 되었어요남친이랑 저는 띠동갑이고 제가 더 어려요원래는 대학원 졸업까지 혼자 자취하려고 했는데 남자친구가 내년에 결혼하자고 해서 같이 살게 되었어요결혼 날짜는 내년 여름쯤 생각했는데같이 살아보니 잘 모르겠어요이유를 나열해 보자면더러워요 양말도 항상 침대 뒤에 소파 아래서 찾아서 제가 빨래 통에 넣고서재에 쓰레기통이 있는데도 바닥엔 더러운 코푼 휴지와 코딱지가 붙어 있고개월 동안 청소기 한 번 돌리는 것을 못 봤어요화장실 청소와 부엌 청소 세탁기 돌리기 모든건 제가 해야해요그나마 하는것은 설거지인데 깨끗하게 안씻이고 항상 음식물이나 기름때가 남아있어서 제가 다시 해야해요저는 과외알바 하면서 대학원 다녀서 피곤하고 시간 없는데 집에 오면 집안 일 부터 해야해요남친은 집에서 재택근무해요남친이랑 도우미 아주머니 부르자고 합의 봤는데저번주에는 회의가 많아서 안된다 이번주에는 바쁘다 뭐 핑계는 많아요집세 반반 내고 전기세랑 통신비는 제가 내요반찬도 남친 어머니가 해주시는 거는 맛 없다고 제 엄마가 해주시는 거 주에 한번씩 받아 먹고 제 엄마 한테 고맙다고 인사 한번 안하네요어제 또 도우미 아주머니 다음주로 미뤄서 저도 하나도 안치우고 짐싸서 친구네 집으로 왔어요전세 계약 기간이 개월 남아서 그냥 짐싸서 나가기도 그렇고지금 헤어지면 꼬인 일이 많은데그냥 내년에 결혼하지 말고 연애만 하자고 미리 못 박을까요 
전설이 된 패션 고녀	 
부담스럽고 내 아이에 간섭이 심한 시누이 	요즘 고민이 생겼어요 행복한 고민일 수도 있는데 스트레스를 받아서요전 이제 돌 지난 딸 엄마입니다다름이 아니라 시누이가 너무 제 딸한테 관심이 많아서요선물도 항상 많이 사주세요 옷만 개 넘게 사주셨고 장난감에 인형에 책에 먹는것도 사주시고 심지어 이번 돌에는 만원 주셨어요이것만보면 좋은 시누이가 맞지만 문제는 선물 주는만큼 간섭해요자기가 준 옷들을 입고 사진 이렇게 이렇게 찍어주라는거 감사한 마음으로 사진을 항상 먼저 보냈지만 사진을 추가로 요구해요 예를 들면 밖에서도 찍어줬으면 좋겠다 다른 인형과 같이 찍어주는것도 요구하구요또 아이보러 자주 저희집에 오셔서 육아해주고 하루종일 붙어있어요잠시나마 육아해방으로 좋기도 하지만 와서 애기 잘 키우고 있냐 지금도 많이 우냐 하루에 똥은 몇번 싸냐 이유식은 잘 먹냐  책은 많이 읽어주냐 등등 미혼이신 시누이가 이렇게 참견을 많이 하세요작은 피부 트러블 하나라도 생기면 과도하게 유난을 떨구요그리고 시누이 프사나 배사나 아이 사진만 있구요 이제 돌인데 프사 번은 바꿨을거에요또 제가 달전에 둘째 임신인걸 알았는데 둘째는 아들 기대한다고 너무 기대한다고 꼭 몸관리 잘하라고 하세여걱정을 하는건지 아니면 저한테 부담을 주는건지 모르겠어요관심이 처음엔 너무 감사했지만 이젠 부담스럽네요 조금 거리를 두고 싶은데 어떻게 해야할까요판분들의 현명한 조언 기다릴께요
